,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
271,dracula untold,2014,english,united states,"action, drama, fantasy, horror",70000000,56280355,0.2552047543166855,164249843,0.7447952456833146,220530198
272,draft day,2014,english,united states,"drama, sport",25000000,28842237,0.9663206743081828,1005243,0.0336793256918172,29847480
273,dragon ball super: broly,2018,japanese,japan,"action, adventure, animation, family, fantasy, sci-fi",8500000,30712119,0.2653304615805149,85038326,0.7346695384194851,115750445
274,dragon wars: d-war,2007,"korean,english",south korea,"action, drama, fantasy, thriller",32000000,10977721,0.1461575543121655,64131096,0.8538424456878345,75108817
275,drinking buddies,2013,english,united states,"comedy, drama, romance",500000,343341,0.8542648427275487,58573,0.1457351572724513,401914
276,drive hard,2014,english,australia,"action, comedy, crime",12000000,267030,0.5,267030,0.5,534060
278,dumb and dumber,1994,english,united states,comedy,17000000,127190327,0.5143360378992907,120100000,0.4856639621007093,247290327
280,dumbo,2019,english,united states,"adventure, family, fantasy",170000000,114766307,0.3248550890076814,238518314,0.6751449109923185,353284621
286,edge of tomorrow,2014,english,united states,"action, adventure, sci-fi",178000000,100206256,0.2704321162013873,270335000,0.7295678837986127,370541256
290,emma.,2020,english,"united kingdom,united states","comedy, drama, romance",10000000,10055355,0.3877519218782464,15877089,0.6122480781217536,25932444
293,enough said,2013,english,united states,"comedy, drama, romance",8000000,17550872,0.6850070033119516,8070577,0.3149929966880483,25621449
295,escape from planet earth,2012,english,"canada,united states","adventure, animation, comedy, family, sci-fi",40000000,57012977,0.7607898852494921,17926212,0.2392101147505079,74939189
298,ever after: a cinderella story,1998,english,united states,"drama, romance",26000000,65705771,0.6704282893195175,32299895,0.3295717106804825,98005666
308,extraordinary mission,2017,mandarin,china,"action, crime",23000000,54200,0.002381602079991,22703590,0.997618397920009,22757790
310,eye see you,2002,english,united states,"crime, thriller",55000000,79161,0.0119355290549414,6553222,0.9880644709450586,6632383
311,fahrenheit 11/9,2018,english,united states,documentary,5000000,6352306,0.951774962811844,321862,0.0482250371881558,6674168
313,falcon rising,2014,english,united states,"action, adventure",4500000,11774,0.0440189026305163,255702,0.9559810973694836,267476
318,fast & furious 6,2013,english,"japan,united states,spain","action, thriller",160000000,238700000,0.302649930264993,550000000,0.697350069735007,788700000
319,fast & furious presents: hobbs & shaw,2019,english,"japan,united states","action, adventure, thriller",200000000,173956935,0.2286701798418016,586775991,0.7713298201581983,760732926
320,father figures,2017,english,united states,"comedy, drama",25000000,17501244,0.6809492956838976,8200000,0.3190507043161024,25701244
327,fighting with my family,2019,english,"united kingdom,united states","biography, comedy, drama, sport",11000000,22958886,0.55318095446271,18544506,0.44681904553729,41503392
328,filly brown,2012,english,united states,"drama, music",2000000,2850357,0.9693736691911436,90054,0.0306263308088563,2940411
329,finding dory,2016,english,united states,"adventure, animation, comedy, family, fantasy",200000000,486295561,0.4727875989887168,542275328,0.5272124010112832,1028570889
330,fired up!,2009,english,united states,"comedy, sport",20000000,17231291,0.926458223628216,1367811,0.0735417763717839,18599102
331,fireflies in the garden,2008,english,united states,drama,8000000,70600,0.0105496234262606,6621582,0.9894503765737394,6692182
333,fist fight,2017,english,united states,comedy,25000000,32187017,0.7814845391692241,9000000,0.2185154608307758,41187017
334,five feet apart,2019,english,united states,"drama, romance",7000000,45729221,0.4940804042742129,46824988,0.505919595725787,92554209
335,flatliners,2017,english,united states,"drama, horror, mystery, sci-fi, thriller",19000000,16883115,0.3738655396198445,28275139,0.6261344603801555,45158254
341,following,1998,english,united kingdom,"crime, mystery, thriller",6000,48482,0.3846190461079554,77570,0.6153809538920445,126052
343,ford v ferrari,2019,english,united states,"action, biography, drama, sport",97600000,117624357,0.521596783549477,107883853,0.478403216450523,225508210
346,free birds,2013,english,united states,"adventure, animation, comedy, family, fantasy, history, sci-fi",55000000,55750480,0.5050453734292364,54636592,0.4949546265707636,110387072
348,friend request,2016,english,germany,"horror, mystery, thriller",9900000,3759078,0.3425006309570776,7216312,0.6574993690429224,10975390
352,fruitvale station,2013,english,united states,"biography, crime, drama, romance",900000,16101339,0.9261185114544432,1284491,0.0738814885455569,17385830
355,furious 7,2015,english,"united states,china","action, thriller",190000000,353007020,0.2324367694977784,1165715774,0.7675632305022216,1518722794
358,g.i. joe: retaliation,2013,english,united states,"thriller, science fiction, action, adventure",140000000,122523060,0.3260840743884802,253217645,0.6739159256115198,375740705
360,gangs of new york,1938,english,"united states,italy","crime fiction, drama",97000000,77812000,0.4015636810886234,115960504,0.5984363189113766,193772504
363,gentlemen broncos,2009,english,united states,"comedy, fantasy, sci-fi",10000000,113682,0.9594065422138204,4810,0.0405934577861796,118492
364,geostorm,2017,english,united states,"action, sci-fi, thriller",100000000,33700160,0.1518708233468601,188200000,0.8481291766531399,221900160
365,get hard,2015,english,united states,"comedy, crime, drama",40000000,90411453,0.808606368794796,21400000,0.191393631205204,111811453
367,get out,2017,english,united states,"horror, mystery, thriller",5000000,176040665,0.6892528282858708,79367304,0.3107471717141292,255407969
370,ghostbusters,2016,english,united states,"action, comedy, fantasy, sci-fi",144000000,128350574,0.5601220565744837,100796935,0.4398779434255163,229147509
372,girls trip,2017,english,united states,"adventure, comedy, drama",28000000,115171585,0.8171128518915611,25777838,0.1828871481084388,140949423
376,godzilla 2000,1999,japanese,japan,"action, adventure, drama, sci-fi, thriller",13000000,10037390,0.7766435369434519,2886673,0.223356463056548,12924063
383,goosebumps 2: haunted halloween,2018,english,united states,"adventure, comedy, fantasy, horror",35000000,46700633,0.5004333780038187,46619747,0.4995666219961813,93320380
